prompt,evaluation_seed,case_number
Generate an image of a vehicle commonly seen on highways.,14,0
Produce an image of a four-wheeled transportation mode often found in urban environments.,14,1
Create an image of a motorized vehicle typically used for personal commuting.,14,2
Generate a picture of an object with wheels and windows commonly found in parking lots.,14,3
Produce an image resembling a mode of transportation with a streamlined body and headlights.,14,4
"Create an image of a machine designed for land travel, featuring a chassis and doors.",14,5
Generate a visual representation of a wheeled object often associated with travel and mobility.,14,6
Produce an image of a commonly used means of personal transit featuring a windshield and tires.,14,7
"Create an image of a vehicle typically seen on roads, featuring a recognizable silhouette.",14,8
"Generate a picture resembling an object used for individual transportation, featuring a body and wheels.",14,9
Produce an image of a wheeled vehicle commonly used for daily commuting.,14,10
Generate an image resembling a mode of transportation with advanced safety features and driver assistance technology.,14,11
Create an image of a personal vehicle commonly used for family trips and vacations.,14,12
"Produce an illustration of a vehicle often parked in commercial districts, featuring business logos and advertisements.",14,13
Generate an image of a mode of personal transportation commonly found in suburban areas.,14,14
"Create a visual representation of a vehicle typically seen on rural roads, featuring rugged design elements.",14,15
Produce an illustration resembling a commonly used means of personal transit featuring eco-friendly design and low emissions.,14,16
Generate an image of a motorized vehicle commonly used for everyday travel.,14,17
Create an illustration of a commonly used mode of transportation featuring luxury amenities and high-end finishes.,14,18
Produce a picture of a wheeled object often associated with personal mobility and convenience.,14,19
Generate an image of a mode of personal transportation commonly found in tourist destinations.,14,20
"Create a visual representation of a vehicle typically seen in cultural events and parades, featuring decorative elements and vibrant colors.",14,21
Produce an illustration resembling a mode of transportation with historical significance and classic styling.,14,22
"Generate an image of a machine designed for road travel, featuring iconic design cues and heritage branding.",14,23
Create an illustration of a vehicle often parked in iconic locations and landmarks.,14,24
Produce a picture of a personal vehicle commonly used for special occasions and ceremonies.,14,25
Generate an image resembling a mode of transportation with futuristic design elements and innovative technology.,14,26
Create a visual representation of a commonly used means of personal transit featuring customizable features and personalization options.,14,27
"Produce an illustration of a vehicle typically seen in movies and television shows, featuring fictional branding and futuristic styling.",14,28
Generate an image of a motorized vehicle commonly used in science fiction and fantasy settings.,14,29
Create an illustration resembling a commonly used mode of transportation featuring alternative energy sources and sustainable materials.,14,30
Produce a picture of a wheeled object often associated with art and design exhibitions.,14,31
Generate an image of a mode of personal transportation commonly found in literature and storytelling.,14,32
Create a visual representation of a vehicle typically seen in video games and virtual environments.,14,33
Produce an illustration resembling a mode of transportation with cultural significance and symbolic value.,14,34
"Generate an image of a machine designed for road travel, featuring avant-garde design elements and unconventional styling.",14,35
"Create an illustration of a vehicle often parked in museums and galleries, featuring historical significance and artistic merit.",14,36
Produce a picture of a personal vehicle commonly used by fictional characters in novels and comic books.,14,37
Generate an image resembling a mode of transportation with retro styling and vintage appeal.,14,38
Create a visual representation of a commonly used means of personal transit featuring customizable paint schemes and accessory options.,14,39
"Produce an illustration of a vehicle typically seen in advertisements and marketing campaigns, featuring aspirational imagery and lifestyle branding.",14,40
Generate an image of a motorized vehicle commonly used in futuristic visions and speculative fiction.,14,41
Create an illustration resembling a commonly used mode of transportation featuring minimalist design and understated elegance.,14,42
Produce a picture of a wheeled object often associated with cultural movements and social trends.,14,43
Generate an image of a mode of personal transportation commonly found in alternative lifestyles and subcultures.,14,44
Create a visual representation of a vehicle typically seen in retro-futuristic depictions and nostalgic references.,14,45
Produce an illustration resembling a mode of transportation with unconventional propulsion systems and experimental technology.,14,46
"Generate an image of a machine designed for road travel, featuring radical design departures and visionary concepts.",14,47
Create an illustration of a vehicle often parked in unconventional locations and offbeat settings.,14,48
Produce a picture of a personal vehicle commonly used by characters in dystopian fiction and speculative futures.,14,49
Generate an image resembling a mode of transportation with cyberpunk aesthetics and urban grit.,14,50
Create a visual representation of a commonly used means of personal transit featuring DIY modifications and custom builds.,14,51
Produce an illustration of a vehicle typically seen in alternative reality games and immersive experiences.,14,52
Generate an image of a motorized vehicle commonly associated with counterculture movements and underground scenes.,14,53
Create an illustration resembling a commonly used mode of transportation featuring retro-modern design and vintage-inspired elements.,14,54
Produce a picture of a wheeled object often associated with post-apocalyptic scenarios and survivalist culture.,14,55
Generate an image of a mode of personal transportation commonly found in speculative visions of the future.,14,56
"Create a visual representation of a vehicle typically seen in dreams and fantasies, featuring surreal imagery and symbolic meanings.",14,57
Produce an illustration of a commonly used means of personal transit featuring eco-friendly design and sustainable materials.,14,58
"Generate a picture of an object used for personal mobility, featuring a streamlined body and aerodynamic features.",14,59
"Create an image of a motorized vehicle commonly seen in cities, featuring a recognizable silhouette.",14,60
"Produce a visual representation of a mode of transportation often found in urban environments, featuring a sleek exterior and modern design.",14,61
"Generate an illustration of a wheeled object typically used for commuting, featuring doors and windows.",14,62
Create an image of a commonly used means of transportation featuring headlights and taillights.,14,63
"Produce a picture of a personal vehicle designed for everyday use, featuring a spacious interior and comfortable seating.",14,64
Generate an image resembling a mode of transportation with a sturdy frame and reliable engine.,14,65
"Create an illustration of a vehicle commonly parked in driveways, featuring a distinctive silhouette.",14,66
"Produce an image of a motorized vehicle commonly used for business purposes, featuring cargo space and utility.",14,67
"Generate a visual representation of a mode of personal transit commonly seen on suburban streets, featuring a recognizable design.",14,68
Create a picture of a commonly used means of transportation featuring alloy wheels and tinted windows.,14,69
Produce an illustration resembling a mode of transportation with a spacious trunk and folding rear seats.,14,70
"Generate an image of a machine designed for road travel, featuring a convertible top and open-air driving experience.",14,71
"Create an image of a vehicle commonly associated with luxury and prestige, featuring premium leather seats and wood trim.",14,72
"Produce an illustration of a personal vehicle commonly used for recreational activities, featuring roof racks and off-road tires.",14,73
"Generate a picture of a mode of transportation with advanced infotainment and connectivity features, featuring touchscreen displays and voice commands.",14,74
Create a visual representation of a commonly used means of personal transit featuring adaptive cruise control and lane-keeping assistance.,14,75
"Produce an image of a mode of transportation commonly used by law enforcement agencies, featuring sirens and emergency lights.",14,76
"Generate an illustration of a wheeled object commonly associated with emergency medical services, featuring ambulance markings and medical equipment.",14,77
"Create an image of a vehicle typically used for public transportation, featuring seating for multiple passengers and standing room.",14,78
"Produce a picture of a motorized vehicle commonly used for commercial purposes, featuring a cargo bed and rear-wheel drive.",14,79
Generate an image resembling a mode of transportation with a distinctive paint scheme and custom decals.,14,80
"Create a visual representation of a vehicle commonly used for delivery services, featuring a sliding side door and refrigerated cargo area.",14,81
"Produce an illustration of a personal vehicle commonly used for ridesharing services, featuring company branding and GPS tracking.",14,82
"Generate a picture of a mode of transportation commonly used for recreational boating, featuring a fiberglass hull and outboard motor.",14,83
"Create an image of a machine designed for off-road travel, featuring oversized tires and rugged suspension.",14,84
"Produce an image resembling a mode of transportation with amphibious capabilities, featuring retractable wheels and propeller propulsion.",14,85
"Generate an illustration of a wheeled object commonly used for recreational cycling, featuring a lightweight frame and multiple gears.",14,86
"Create a visual representation of a vehicle commonly used for aerial transportation, featuring rotor blades and a cockpit.",14,87
"Produce an illustration of a personal vehicle commonly used for equestrian activities, featuring a saddle and reins.",14,88
"Generate an image of a mode of transportation commonly used for space exploration, featuring rocket boosters and solar panels.",14,89
"Create a picture of a motorized vehicle commonly used for underwater exploration, featuring a pressurized cabin and diving equipment.",14,90
"Produce a visual representation of a mode of personal transit commonly used for skiing and snowboarding, featuring ski racks and all-wheel drive.",14,91
"Generate an image resembling a mode of transportation with hover technology, featuring magnetic levitation and anti-gravity propulsion.",14,92
"Create an illustration of a wheeled object commonly used for roller skating, featuring four wheels arranged in a line and a brake mechanism.",14,93
"Produce an image of a vehicle commonly used for racing, featuring a sleek aerodynamic design and high-performance engine.",14,94
"Generate a picture of a mode of transportation commonly used for horse-drawn carriage rides, featuring ornate decorations and a carriage driver.",14,95
"Create a visual representation of a commonly used means of personal transit commonly seen in amusement parks, featuring themed decorations and colorful paint.",14,96
"Produce an illustration of a vehicle commonly used for ice cream truck services, featuring a refrigerated compartment and whimsical decorations.",14,97
"Generate an image of a machine designed for military transportation, featuring camouflage paint and heavy-duty armor.",14,98
"Create an image of a personal vehicle commonly used for camping and outdoor adventures, featuring a rooftop tent and off-road capabilities.",14,99